name,ra,dec,petro_theta,class,new_class
J011540.64+011152.6.jpg,18.919349391542887,1.1979690168711352,15.338832,3,2
J095804.47+401333.6.jpg,149.51863580407144,40.22604388891594,14.320828,3,2
J093316.71+335420.5.jpg,143.3196722591982,33.90573501141173,17.083345,3,2
J163045.22+260542.9.jpg,247.68842571117008,26.095249541562904,16.429203,2,2
J140132.73+133206.0.jpg,210.38640985024682,13.535019135304788,12.6267185,1,2
J091350.87+500952.4.jpg,138.462058183435,50.16448918719266,6.7219906000000025,3,2
J115909.54+630321.6.jpg,179.78983406471326,63.05600434163048,11.72144,3,2
J161644.69+520046.9.jpg,244.18638053997418,52.017808730108,10.394143,3,2
J132528.85+122903.6.jpg,201.37023631761443,12.48435190375066,11.133017,1,2
J084525.76+325657.6.jpg,131.3573737758191,32.94936402496414,15.23235,3,2
J135032.13+031138.9.jpg,207.63389413177242,3.1941441965564774,19.932055,3,2
J104002.95+060114.0.jpg,160.01234582512092,6.0206020051199065,19.84417,3,2
J132925.39+115442.0.jpg,202.35808204104737,11.909953396376116,20.893013,1,2
J152546.43+482928.2.jpg,231.44349726867657,48.49117272806634,11.992848,2,2
J154125.56+025831.5.jpg,235.3565095891846,2.9754283675310926,9.573391,1,2
J084133.31+323841.9.jpg,130.38880846646876,32.644967953597266,9.217144,1,2
J113959.72+673259.2.jpg,174.9988869252273,67.54982162395919,9.27499,2,2
J143416.62+371202.6.jpg,218.5692716997543,37.20073138408453,7.875164999999999,3,2
J132927.50+554316.2.jpg,202.36459859417718,55.72115314454675,7.0489826,3,2
J131120.77+574902.0.jpg,197.83656372159336,57.81727593041582,11.788711,1,2
J083918.63+300607.3.jpg,129.82765759964798,30.10202226618365,12.483024,1,2
J164348.56+241432.4.jpg,250.95237417730823,24.242343717328016,16.906092,2,2
J125244.49+591556.2.jpg,193.1853675775177,59.26561217617921,18.211792000000006,3,2
J131710.92+005448.8.jpg,199.29555740037537,0.9135613339997786,14.485678,3,2
J021423.64+122015.4.jpg,33.59853180723685,12.337630660859261,6.405983999999999,1,2
J165705.24+184249.5.jpg,254.27187823011624,18.713752079030247,11.275079,1,2
J130551.95+414318.9.jpg,196.46647938297863,41.72189902630583,15.007573999999998,2,2
J104039.65+390356.0.jpg,160.16522010002382,39.06559958295455,9.332863,1,2
J165356.87+412010.3.jpg,253.48696171417487,41.33619695090441,9.270042,1,2
J005513.61-010433.7.jpg,13.806749617291588,-1.0760435011181586,14.449284,3,2
J134753.69+015448.9.jpg,206.97372546583526,1.9135845365075324,12.730249,3,2
J114201.29+113302.0.jpg,175.52824068101742,11.537664765029035,16.046953,3,2
J023648.87-085926.6.jpg,39.20363282456062,-8.990740190229955,11.992848,2,2
J100527.49+110715.4.jpg,151.3646173553969,11.120984134249275,14.823549,3,2
J091218.52+374057.1.jpg,138.07720355683094,37.68256100547923,9.704307,3,2
J124249.62+000127.0.jpg,190.7067538607074,0.024211594444134857,24.132713,1,2
J005735.94+143605.3.jpg,14.399784189607168,14.601479280150087,9.539124,2,2
J155324.15+274033.8.jpg,238.35068270997863,27.67605992559189,14.991701,3,2
J164750.50+255457.3.jpg,251.96045338102448,25.915925062991644,10.100944,1,2
J110229.32+092849.0.jpg,165.62220840456473,9.480268057336833,10.513791,3,2
J114910.98+105355.0.jpg,177.29575646336227,10.8986660766336,13.837449,2,2
J141555.70+043319.1.jpg,213.9821218166507,4.555325832420522,10.639151,3,2
J091959.50+005549.9.jpg,139.998724686871,0.93097591740191,8.098305,1,2
J230343.06+135535.5.jpg,345.9294363955922,13.926534703354635,9.177605,3,2
J141237.40+391834.9.jpg,213.15896306196137,39.31018738080104,17.083345,3,2
J095057.40+434111.7.jpg,147.73918031735315,43.686602371480504,18.95615,3,2
J163652.98+323103.6.jpg,249.22075976141213,32.51765905802948,5.6475487,1,2
J090312.65-004510.6.jpg,135.80276487481984,-0.7529819192148091,16.809618,1,2
J130934.83+045701.8.jpg,197.3951427642143,4.950524716419046,14.736517999999998,1,2
J213418.49+111251.6.jpg,323.5770928370488,11.214323983125244,11.72144,1,2
J225812.49+145057.3.jpg,344.55204826236184,14.849280536236362,8.301952,3,2
J120523.24+643029.6.jpg,181.34681873622003,64.50823767222555,9.060253,1,2
J094029.95+112941.7.jpg,145.12482604514344,11.494926803730767,11.992848,2,2
J030749.30-004658.0.jpg,46.95620439110222,-0.7834783059632012,10.30105,2,2
J103636.77+433024.4.jpg,159.1532800045547,43.50677832946801,13.996736,3,2
J113706.07+115237.7.jpg,174.27531770775502,11.877131794577815,7.8524766,1,2
J114545.19+554759.6.jpg,176.43833383525364,55.79990087763696,12.772066,2,2
J153207.76+421301.1.jpg,233.0323362866312,42.21699113008096,13.758488,3,2
J162116.17+282826.3.jpg,245.317222920926,28.47369441864436,13.851916,3,2
J004730.34+154149.4.jpg,11.876450055333093,15.697081439258785,15.515401,3,2
J011546.88+143206.4.jpg,18.94539454273981,14.535134571266074,8.556317,1,2
J090538.76+020117.0.jpg,136.4115488014948,2.021392892754157,16.228247,3,2
J100345.68+034034.8.jpg,150.94037382962713,3.676341039931392,9.112251,3,2
J215759.85-072749.5.jpg,329.4993964786029,-7.4637553891943424,11.823557,3,2
J122324.22+125647.8.jpg,185.8509745214291,12.94660604661093,7.763114,3,2
J015459.39+132856.9.jpg,28.74830642547827,13.482960789881474,14.449284,3,2
J093923.99+363430.0.jpg,144.84331304861075,36.574568088111356,13.184026,3,2
J014658.64-095940.3.jpg,26.744380344280195,-9.994534282879476,5.434039,3,2
J110610.46+481604.0.jpg,166.5435937335241,48.26776140565193,15.557332999999998,3,2
J125156.69+552115.8.jpg,192.98622627749646,55.354420083884975,7.9498076,1,2
J080424.96+293023.9.jpg,121.10403776970078,29.50665590037377,7.8076672999999985,1,2
J165512.15+391121.9.jpg,253.80064111946896,39.189433265519405,14.757559,1,2
J090100.08+452617.1.jpg,135.25033258841918,45.4381143067229,11.334743,3,2
J100242.18+535529.2.jpg,150.67577475231647,53.92473486397229,15.694001,1,2
J143437.29+025256.6.jpg,218.6553794432237,2.8824033836206167,9.522999,3,2
J034240.10-062254.5.jpg,55.667097783982754,-6.381836715716679,18.058657,2,2
J091225.16+473251.1.jpg,138.10486698073447,47.54754125234328,13.679976000000002,1,2
J124043.09+445457.5.jpg,190.17960865650815,44.915962322482606,11.069488,3,2
J120922.46+131753.9.jpg,182.3436193662767,13.298347016333349,8.654810000000001,2,2
J164337.87+214128.6.jpg,250.90782633530682,21.691287065224973,11.654552,3,2
J131259.92+431215.5.jpg,198.24977997448426,43.204277376434476,10.394143,3,2
